Sr. NO,Byline Device ID,Device,Make,Serial No,Type,Invoice,Invoice Date,Warranty (Yrs),Warranty Expiry,Warranty Registered ,,,,,,
1,BYL/SC/24/01,Monitor,LG,312NTNHC3V799 ,21 inch,,,,0.00,,,,,,,
2,,Monitor,LG,401NTNHC2831,21 inch,,,,0.00,,,,,,,
3,,Monitor,Acer ,MMTDNS100542602CB4250,28 Inch,,,,0.00,,,RAM,,Device,Count of Device,
4,,Monitor,Acer ,MMTNHSS001439070443W01,24 inch,HYD8-4761229,2/4/2024,3,593.00,,,,,Monitor,49,
5,,Monitor,LG,401NTZN6N173,24 inch,SBOB-8522,3/27/2024,3,645.00,,,,,Grand Total,49,
6,,Monitor,Acer ,MMTDNS1004343165C94246,24 inch,,,,0.00,,,,,,,
7,,Monitor,Zebronics ,ZBW16MV00171,27 inch,SBOB-150033,3/26/2025,3,1009.00,,,,,,,
8,,Monitor,LG ,402NTBKAY573,24 inch,SBOB-150034,,,0.00,,,,,,,
9,,Monitor,LG,N/A,21 inch,,,,0.00,,,,,,,
10,,Monitor,LG,401NTBKC2861,24 inch,SBOB-8534,3/27/2024,3,645.00,,,,,,,
11,,Monitor,LG   ,312NTXR3v778,24 inch,SBOB-6264,4/15/2024,3,664.00,,,,,,,
12,,Monitor,Zebronics ,ZBW16MV00530,27 inch,SBOB-150034,3/26/2025,3,1009.00,,,,,,,
13,,Monitor,Acer,MMTFKS1001333004912400,24 inch,,,,0.00,,,,,,,
14,,Monitor,Acer,MMTDNS1004343165B44246,24 inch,,,,0.00,,,,,,,
15,,Monitor,Acer,MMTJES1002340086623w07,24 inch,,,,0.00,,,,,,,
16,,Monitor,DELL,E2418MN,24 inch,,,,0.00,,,,,,,
17,,Monitor,LG,401NTABC2784,24 inch, SBOB-46110,7/15/2024,3,755.00,,,,,,,
18,,Monitor,LG,401NTYTC2866,24 inch,,,,0.00,,,,,,,
19,,Monitor,Zebronics ,ZDP03KV00068,27 inch,SBOB-38909,6/9/2025,3,1084.00,,,,,,,
20,,Monitor,Acer,MMTNHSS00144909B393001,27 inch,,,,0.00,,,,,,,
21,,Monitor,LG,307NTQD5W452,27 inch,SBOB-30840,6/11/2024,3,721.00,,,,,,,
22,,Monitor,Acer ,MMTJES1002340080CL3W01 ,24 inch,,,,0.00,,,,,,,
23,,Monitor,Lenevo,U533C6DD,24 inch,,,,0.00,,,,,,,
24,,Monitor,Lenevo,UPWOVCMC,24 inch,,,,0.00,,,,,,,
25,,Monitor,DELL,CN-07592Y (A),27 inch,,,,0.00,,,,,,,
26,,Monitor,DELL,CN-07592Y (B),27 inch,,,,0.00,,,,,,,
27,,Monitor,LG,402NTDSUAY582,27 inch,SBOB-30841,6/11/2024,3,721.00,,,,,,,
28,,Monitor,LG,402NTDVAY586,28 inch,SBOB-42620,10/2/2024,3,834.00,,,,,,,
29,,Monitor,Acer,MMTNHSS00143906E8130001,24 inch,,,,0.00,,,,,,,
30,,Monitor,LG ,401MTNX5M747 ,28 inch,SBOB-42627,10/2/2024,3,834.00,,,,,,,
31,,Monitor,Acer,MMTDNS100543004FCf4250,24 inch,,,,0.00,,,,,,,
32,,Monitor,DELL,CN-07592Y (C),24 inch,,,,0.00,,,,,,,
33,,Monitor,DELL,CN-07592Y (D),24 inch,,,,0.00,,,,,,,
34,,Monitor,Acer,MMTDNS005431020PA4250,24 inch,,,,0.00,,,,,,,
35,,Monitor,LG,401NtGYC2775,24 inch, SBOB-6266,4/24/2024,3,673.00,,,,,,,
36,,Monitor,Zebronics ,ZBW16MV0036,27 inch,SBOB-12469,4/24/2025,3,1038.00,,,,,,,
37,,Monitor,Zebronics ,ZBW16MV00162,27 inch,SBOB-12480,4/24/2025,3,1038.00,,,,,,,
38,,Monitor,LG,312NTPC3V640,24 inch,SBOB-9580,4/15/2024,3,664.00,,,,,,,
39,,Monitor,Acer,MMTDNSI0054300502E4250,24 inch,,,,0.00,,,,,,,
40,,Monitor,Acer,MMTNHSS00144809BE3W01,24 inch,,,,0.00,,,,,,,
41,,Monitor,Zebronics ,ZBW16VIV00604,27 inch,SBOB-130097,2/15/2025,3,970.00,,,,,,,
42,,Monitor,Zebronics ,ZBW16MV00467,27 inch,SBOB-130100,2/15/2025,3,970.00,,,,,,,
43,,Monitor,Zebronics ,ZBW16MV00148,27 inch,SBOB-130094,2/15/2025,3,970.00,,,,,,,
44,,Monitor,MSI,CE2MQ15200155,27 inch,,,,0.00,,,,,,,
45,,Monitor,MSI,CE2M015200137,27 inch,,,,0.00,,,,,,,
46,,Monitor,DELL,E2418HN,24 inch,,,,0.00,,,,,,,
47,,Monitor,Zebronics ,ZDP03KV0006,27 inch,SBOB-38994,6/9/2025,3,1084.00,,,,,,,
48,,Monitor,HP All-in-One PC,27-cr0445in (A),27 inch,AMD2-826391,6/9/2025,1,354.00,,,,,,,
